iteration,destroy_operator,repair_operator,removed_count,accepted,event,temperature,candidate_feasible,candidate_active_objective,current_active_objective,best_active_objective,best_tardiness,best_travel_time,best_distance,best_vehicle_cost,best_used_vehicle_count,completed_iterations
21,worst,depot_vehicle,6,True,SA_ACCEPTED,0.9046104802746175,True,8629.429204000002,8629.429204000002,8629.429204000002,439.91932600000007,7629.273636999999,8629.429204000002,2760000.0,23,50
22,route,depot_vehicle,2,False,REJECTED,0.9000874278732445,True,8743.634894,8629.429204000002,8629.429204000002,439.91932600000007,7629.273636999999,8629.429204000002,2760000.0,23,50
23,worst,depot_vehicle,9,False,REJECTED,0.8955869907338783,True,8777.812124000002,8629.429204000002,8629.429204000002,439.91932600000007,7629.273636999999,8629.429204000002,2760000.0,23,50
24,shaw,greedy,14,True,GLOBAL_BEST,0.8911090557802088,True,8417.989207000002,8417.989207000002,8417.989207000002,439.91932600000007,7333.982557999999,8417.989207000002,2760000.0,23,50
25,shaw,depot_vehicle,5,False,REJECTED,0.8866535105013078,True,8576.286655000002,8417.989207000002,8417.989207000002,439.91932600000007,7333.982557999999,8417.989207000002,2760000.0,23,50
26,shaw,regret2,15,False,REJECTED,0.8822202429488013,True,9047.361252,8417.989207000002,8417.989207000002,439.91932600000007,7333.982557999999,8417.989207000002,2760000.0,23,50
27,route,regret2,3,True,GLOBAL_BEST,0.8778091417340573,True,8391.476754000001,8391.476754000001,8391.476754000001,439.91932600000007,7334.029669999999,8391.476754000001,2760000.0,23,50
28,worst,greedy,15,False,REJECTED,0.8734200960253871,True,8937.497851000002,8391.476754000001,8391.476754000001,439.91932600000007,7334.029669999999,8391.476754000001,2760000.0,23,50
29,shaw,depot_vehicle,8,True,GLOBAL_BEST,0.8690529955452602,True,8379.842268,8379.842268,8379.842268,439.91932600000007,7394.094504999998,8379.842268,2880000.0,24,50
30,random,greedy,12,True,GLOBAL_BEST,0.8647077305675338,True,8353.400728,8353.400728,8353.400728,589.485258,7324.0615739999985,8353.400728,2880000.0,24,50
31,shaw,greedy,10,False,REJECTED,0.8603841919146962,True,8365.035214000001,8353.400728,8353.400728,589.485258,7324.0615739999985,8353.400728,2880000.0,24,50
32,random,greedy,11,False,REJECTED,0.8560822709551227,True,8789.419547,8353.400728,8353.400728,589.485258,7324.0615739999985,8353.400728,2880000.0,24,50
33,worst,greedy,7,False,REJECTED,0.851801859600347,True,8411.053758,8353.400728,8353.400728,589.485258,7324.0615739999985,8353.400728,2880000.0,24,50
34,shaw,depot_vehicle,14,False,REJECTED,0.8475428503023453,True,8727.539049999998,8353.400728,8353.400728,589.485258,7324.0615739999985,8353.400728,2880000.0,24,50
35,route,regret2,3,True,GLOBAL_BEST,0.8433051360508336,True,8286.937665000001,8286.937665000001,8286.937665000001,589.485258,7244.4597459999995,8286.937665000001,2880000.0,24,50
