node_id,original_node_id,latitude,longitude,x,y,degree,node_role,road_rank,road_class,importance_score,node_type,node_name,turn_p
R001,3580024101,36.587438954130185,128.156610184886,303507.4045528976,443852.2576925198,7,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,211.0,106,점촌함창IC,0
R002,3590012506,36.69793174069319,128.1112276911841,299303.92679780396,456066.50086126686,8,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,210.891274,106,문경새재IC,0
R003,3580023601,36.58382519540017,128.1523027602236,303126.7170322139,443446.58520550467,7,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,210.879363,106,점촌함창IC,0
R004,3580019201,36.5325799823054,128.16749908794347,304555.8188714046,437776.00159090554,10,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,210.875393,106,북상주IC,0
R005,2830014702,36.59310877432778,127.42427901727457,237966.1651999997,443942.4752999991,7,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,207.855585,106,남이JC,1
R006,2310021215,37.086408549290134,127.45085389140704,240085.91500580593,498697.5494148731,7,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,207.682417,106,일죽IC삼거리,0
R007,3530110805,36.12773218717024,128.09485152608235,298558.2609989768,392773.07044647227,7,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,204.833857,106,김천IC앞,0
R008,3580025401,36.372860391594216,128.23947499157688,311229.7959664518,420131.7135668276,7,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,203.787827,106,낙동Jct,0
R009,3120019102,35.98815962014531,127.1137933871101,210261.5670216906,376736.843722188,7,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,203.662304,106,익산IC(남측),1
R010,3530109702,36.19700620201234,128.00201032461408,290121.10965129983,400370.0354566022,10,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,201.295681,106,추풍령IC(남측),1
R011,3530014202,36.13195163961604,128.09469721056038,298539.0937338465,393241.1365967532,7,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,201.248342,106,김천IC(남측),1
R012,2830018302,36.570233958285506,127.42885630180209,238387.0845999997,441405.8582000006,8,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,199.84856,106,청주JC,0
R013,2800135802,36.75847833266614,127.98464273279068,287922.36481666693,462662.13668395666,8,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,197.958726,106,적석교차로,1
R014,2800132602,36.801985282403976,127.82986453530074,274059.4741049671,467359.4208217225,9,anchor|named_interchange_or_intersection|branch|node_type_106,103,일반국도,197.847251,106,검승교차로,1
R015,2800133702,36.780526873189345,127.90269321445172,280581.53190902463,465036.88996646635,10,anchor|named_interchange_or_intersection|branch|node_type_106,103,일반국도,197.67836,106,쌍곡2교차로,1
R016,2310014002,37.044565565169194,127.13711671594014,212197.86458379336,493967.54856991465,8,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,196.962522,106,안성JC(북측),0
R017,3610089902,36.095711193171624,128.66305825397893,349772.5582827997,389945.53142411116,10,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,196.544415,106,동군위IC,1
R018,3580091902,36.367406915229424,128.24643740028336,311862.4365199174,419534.5607406352,7,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,196.403621,106,낙동JC,0
R019,3580012301,36.42003963998809,128.21430362043102,308904.97719635145,425338.6836615097,9,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,195.78233,106,상주IC,0
R020,3580013301,36.4254156188043,128.2130900295645,308788.6304454128,425933.9098428317,9,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,195.750873,106,상주IC,0
R021,3580018901,36.52854091633443,128.17185273214872,304951.1849053276,437332.5024573379,10,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,195.749956,106,북상주IC,0
R022,3080137502,35.95029565949491,127.09709381272272,208759.82767226192,372533.8876654077,8,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,195.637871,106,익산JC,0
